exec_date,BUY,SELL
2016-10-24,7066.0,9800.0
2016-10-25,4709.0,6460.0
2016-10-26,8047.0,9867.0
2016-10-27,7609.0,9043.0
2016-10-28,4855.0,7777.0
2016-10-29,6017.0,9761.0
2016-10-30,9891.0,14018.0
2016-10-31,8370.0,11338.0
2016-11-01,10450.0,12712.0
2016-11-02,8446.0,9343.0
2016-11-03,10713.0,11624.0
2016-11-04,9653.0,10197.0
2016-11-05,7774.0,10017.0
2016-11-06,6660.0,8692.0
2016-11-07,8039.0,10715.0
2016-11-08,6679.0,10397.0
2016-11-09,11524.0,13583.0
2016-11-10,8550.0,11093.0
2016-11-11,8271.0,10499.0
2016-11-12,5951.0,6768.0
2016-11-13,7741.0,10555.0
2016-11-14,9788.0,11212.0
2016-11-15,8168.0,8924.0
2016-11-16,9953.0,9581.0
2016-11-17,11953.0,12084.0
2016-11-18,8905.0,8140.0
2016-11-19,6172.0,6153.0
2016-11-20,5816.0,6671.0
2016-11-21,9513.0,10368.0
2016-11-22,8485.0,10614.0
2016-11-23,8849.0,9413.0
2016-11-24,7301.0,10589.0
2016-11-25,4102.0,8961.0
2016-11-26,3217.0,6700.0
2016-11-27,4941.0,8977.0
2016-11-28,4940.0,10262.0
2016-11-29,2854.0,10099.0
2016-11-30,3074.0,9813.0
2016-12-01,3888.0,9040.0
2016-12-02,6999.0,9570.0
2016-12-03,6398.0,9101.0
2016-12-04,8185.0,8976.0
2016-12-05,10417.0,10619.0
2016-12-06,12321.0,8352.0
2016-12-07,12750.0,11569.0
2016-12-08,13069.0,10973.0
2016-12-09,9532.0,8506.0
2016-12-10,8712.0,7190.0
2016-12-11,6654.0,7676.0
2016-12-12,9746.0,10806.0
2016-12-13,6465.0,8361.0
2016-12-14,9160.0,8949.0
2016-12-15,5586.0,6155.0
2016-12-16,5144.0,6193.0
2016-12-17,6611.0,9056.0
2016-12-18,4717.0,5606.0
2016-12-19,5405.0,6361.0
2016-12-20,6950.0,9921.0
2016-12-21,7964.0,9515.0
2016-12-22,13403.0,15431.0
2016-12-23,9864.0,9455.0
2016-12-24,6159.0,7349.0
2016-12-25,7578.0,7577.0
2016-12-26,10379.0,10219.0
2016-12-27,8511.0,13475.0
2016-12-28,8395.0,13468.0
2016-12-29,11270.0,16330.0
2016-12-30,12435.0,16941.0
2016-12-31,10307.0,9685.0
2017-01-01,9157.0,7698.0
2017-01-02,11627.0,10016.0
2017-01-03,12732.0,12155.0
2017-01-04,16028.0,17388.0
2017-01-05,17945.0,18890.0
2017-01-06,17373.0,19570.0
2017-01-07,15869.0,18227.0
2017-01-08,15676.0,16774.0
2017-01-09,16208.0,17346.0
2017-01-10,14854.0,17466.0
2017-01-11,15773.0,18396.0
2017-01-12,21312.0,24208.0
2017-01-13,16327.0,16906.0
2017-01-14,15631.0,15860.0
2017-01-15,16301.0,11542.0
2017-01-16,10022.0,9394.0
2017-01-17,15579.0,15317.0
2017-01-18,14703.0,15171.0
2017-01-19,10634.0,11034.0
